Name,Company name (Razón social),Country,Belongs to group: Yes / No,Company Group,Web,CUIL – RUT – NIT,Short name (max 5 letters),Enabled: Yes / No
AESA,A EVANGELISTA SA,ARGENTINA,SI,YPF,WWW.YPF.COM,30-68521810-90,AESA,Yes
ARAUCO,CELULOSA ARAUCO Y CONSTITUCION S A,CHILE,SI,ARAUCO,,93.458.000- 1,ARAUCO,Yes
ARCOR,ARCOR SAIC,ARGENTINA,NO,,30-50279317-5,,ARCOR,Yes
ARCOS DORADOS,ARCOS DORADOS ARGENTINA SA,ARGENTINA,NO,,WWW.ARCOSDORADOS.COM,30-61025233-4,ARCOSD,Yes
ARREDO,VERSSION SA,ARGENTINA,NO,,WWW.ARREDO.COM.AR,30-61494150-9,ARREDO,Yes
ASSIST CARD,ASSIST CARD ARGENTINA SA,ARGENTINA,NO,,WWW.ASSISTCARD.COM,33-54799242-9,ASSISTC,Yes
BANCO CENTRAL CH,BANCO CENTRAL DE CHILE,CHILE,NO,,,97.029.000- 1,BCENCHL,Yes
BATA,BATA CHILE S.A.,CHILE,NO,,,96.670.340- 7,BATA,Yes
BCO. FALABELLA,BANCO FALABELLA,CHILE,NO,,,96.509.660- 4,BCOFALA,No
BDS,BANCO DEL SOL SA,ARGENTINA,NO,,WWW.BANCODELSOL.COM,30-67793756-0,BDS,No
BOEHRINGER ARG,BOEHRINGER INGELHEIM S A,ARGENTINA,SI,BOHERINGER INGELHEIM,WWW.SUDAMERICA.BOEHRINGER-INGELHEIM.COM,30-53562115-9,BIAR,Yes
BOEHRINGER CHILE,BOEHRINGER INGELHEIM LTDA,CHILE,SI,BOHERINGER INGELHEIM,,77.065.850- 0,BICL,Yes
BOEHRINGER COLOMBIA,BOEHRINGER INGELHEIM SA,COLOMBIA,SI,BOHERINGER INGELHEIM,,860000753-8,BICO,Yes
BOEHRINGER PERÚ,BOEHRINGER INGELHEIM PERU S.A.C.,PERU,SI,BOHERINGER INGELHEIM,,20523163320,BIPE,No
BRANCA,FRATELLI BRANCA DESTILERIAS S.A.,ARGENTINA,NO,,WWW.BRANCA.COM.AR,30-50415535-4,BRANCA,No
CARREFOUR,CARREFOUR COMERCIO E INDUSTRIA,BRASIL,NO,,,45.543.915/0001-81,CARREFOUR,No
CASSOL,CASSOL MATERIAIS DE CONTRUCAO LTDA,BRASIL,NO,,,75.400.218/0027-71,CASSOL,No
CCR,CCR S.A.,BRASIL,NO,,,02.846.056/0001-97,CCR,Yes
CENCOSUD,CENCOSUD S A,CHILE,SI,CENCOSUD,,93.834.000- 5,CENCO,Yes
CERVEPAR,CERVEPAR S.A.,PARAGUAY,SI,AB InBEV,,80086846-3,CERVEPAR,No
CIEE,CENTRO DE INTEGRAÇÃO EMPRESA ESCOLA RS,BRASIL,NO,,,92.954.957/0001-95,CIEE,Yes
CODELCO SCL,SCL CONSULTING CHILE SPA,CHILE,NO,,,76.360.569- 8,CODELCO,Yes
CONSTRUMART,CONSTRUMART S.A.,CHILE,NO,,,96.511.460- 2,CONSTRU,Yes
DANDO,CFG PARTNERS COLOMBIA S A S,COLOMBIA,NO,,,901499962-0,DANDO,Yes
DESPEGAR,DESPEGAR.COM,ARGENTINA,NO,,WWW.DESPEGAR.COM.AR,30-70130711-5,DESPEG,Yes
DISNEY,THE WALT DISNEY COMPANY ARGENTINA SA,ARGENTINA,NO,,WWW.DISNEYLATINO.COM,30-63984459-1,DISNEY,Yes
DPC,DEFENSORIA DEL PUEBLO,COLOMBIA,NO,,,800186061-1,DPC,Yes
DRAGER,DRAGER CHILE LIMITADA,CHILE,SI,,,76.033.880- K,DRAGER,Yes
FALP,FUND ARTURO LOPEZ PEREZ,CHILE,NO,,,70.377.400- 8,FALP,No
FEDECREDITO,FEDECREDITO DE CV,EL SALVADOR,NO,,,0614-100243-002-3,FEDECRED,Yes
FERRING,FERRING PRODUCTOS FARMACEUTICOS SPA,CHILE,NO,,,76.176.015-7,FERRING,Yes
FNC,FNC,URUGUAY,SI,AB InBEV,,21011416001-5,FNC,Yes
FORD MEX,FORD MOTOR COMPANY SA DE CV,MEXICO,SI,FORD,,FMO8304236C5,FORDMX,Yes
GRUPO ÉXITO,GRUPO EXITO S A,COLOMBIA,NO,,,890900608-9,ÉXITO,Yes
GRUPO GESTION,CAMARA DE EMPRESAS ARGENTINAS TRANSPORTADORAS DE CAUDALES,ARGENTINA,NO,,WWW.CETCA.COM.AR,30-69551392-1,GRGEST,Yes
HENKEL,HENKEL LTDA,BRASIL,NO,,,02.777.131/0035-54,HENKEL,Yes
INCHAPE,INCHCAPE AUTOMOTRIZ CHILE S.A.,CHILE,NO,,,96.856.360- 2,INCHAPE,No
INTERBANKING,INTERBANKING S.A.,ARGENTINA,NO,,,,INTERBANK,Yes
K+N,KUEHNE + NAGEL S.A.,ARGENTINA,NO,,30-60851774-6,,K+N,Yes
KAESER,KAESER COMPRESORES DE ARGENTINA SRL,ARGENTINA,NO,,WWW.KAESER.COM.AR,30-69797244-3,KAESER,Yes
L´OREAL,L´OREAL ARGENTINA SA,ARGENTINA,NO,,WWW.LOREAL.COM,30-50146042-3,LOREAL,Yes
LAB. CONDA,LABORATORIOS CONDA,ESPAÑA,NO,,,ESA28090819,LABCOND,Yes
MAINCAL,MAINCAL S.A.,ARGENTINA,NO,,WWW.MAINCAL.COM.AR,30-50393851-7,MAINCAL,Yes
MASYMAS,"JUAN FORNÉS FORNÉS, S.A.",ESPAÑA,NO,,,A03140456,MASYMAS,Yes
MELI ARG,MERCADO LIBRE SRL,ARGENTINA,SI,MERCADO LIBRE,WWW.MERCADOLIBRE.COM.AR,30-70308853-4,MELIAR,Yes
MELI BRA,MERCADOLIVRE.COM ATIVIDADED DE INTERNET LTDA,BRASIL,SI,MERCADO LIBRE,,03.361.252/0001-34,MELIBR,Yes
MELI CH,MERCADO LIBRE CHILE LIMITADA,CHILE,SI,MERCADO LIBRE,,"77,398220-1",MELICL,Yes
MINERA S. GERONIMO,CIA MINERA SAN GERONIMO,CHILE,NO,,,78.801.520- 8,MSANG,No
MODO,PLAY DIGITAL SA,ARGENTINA,NO,,WWW.MODO.COM.AR,30-71682943-6,MODO,No
MOLINOS RDP,MOLINOS RIO DE LA PLATA SA,ARGENTINA,SI,PECOM,WWW.MOLINOS.COM.AR,30-50085862-8,MOLIRDP,Yes
MOVISTAR+,"TELEFÓNICA AUDIOVISUAL DIGITAL, S.L.U.",ESPAÑA,NO,,,B87613816,MOVISTAR,Yes
MUTUALIDAD ABOGACIA,MUTUALIDAD GENERAL DE ABOGACIA,ESPAÑA,NO,,,28024149,MUTABOG,Yes
MUTUCAR,MUTUALIDAD DE CARABINEROS,CHILE,NO,,,99.024.000- 0,MUTUCAR,Yes
OSDE,OSDE ORGANIZACIÓN DE SERVICIOS DIRECTOS EMPRESARIOS,ARGENTINA,NO,,,30-54674125-3,OSDE,No
PAE,PAN AMERICAN ENERGY S.L.,ARGENTINA,NO,,WWW.PAN-ENERGY.COM,30-69554247-6,PAE,Yes
PEPSICO,PEPSICO,COLOMBIA,SI,,,,PEPSICO,Yes
PFIZER BRA,WYETH INDUSTRIA FARMACEUTICA LTDA,BRASIL,SI,PFIZER,,61.072.393/0001-33,PFIZERBR,Yes
PFIZER ESP,PFIZER S.L.U,ESPAÑA,SI,PFIZER,,B-28/089225,PFIZERES,Yes
PLUSPETROL,PLUSPETROL URUGUAY S.A.,URUGUAY,NO,,21 712548 0013,,PLUPETRO,Yes
PRISA,PROVEEDORES INTEGRALES PRISA S A,CHILE,NO,,,96556940-5,PRISA,Yes
QUILMES ARG,CERVECERIA Y MALTERIA QUILMES SAICA Y G,ARGENTINA,SI,AB InBEV,WWW.CERVECERIAYMALTERIAQUILMES.COM,33-50835825-9,QUILMAR,Yes
QUILMES CH,CERVECERIA CHILE S A,CHILE,SI,AB InBEV,,96.547.710- 1,QUILMCL,No
RAIZEN,RAIZEN ARGENTINA S.A.U.,ARGENTINA,NO,,WWW.SHELL.COM.AR,30-50672680-4,RAIZEN,No
RENIEC,UNIDAD EJECUTORA 002: MEJORA DE LA CALIDAD DE SERVICIOS REGISTRALES - RENIEC,PERU,NO,,,20605034358,RENIEC,Yes
RENNER,LOJAS RENNER S.A.,BRASIL,NO,,,92.754.738/0013-04,RENNER,Yes
SAINT GOBAIN ESP,"SAINT GOBAIN ESPAÑA, S.L.",ESPAÑA,NO,,,B96196803,STGOBAINES,Yes
SAN CRISTOBAL,SAN CRISTOBAL SOCIEDAD MUTUAL DE SEGUROS GENERALES,ARGENTINA,NO,,WWW.SANCRISTOBAL.COM.AR,34-50004533-9,SANCRI,Yes
SONDA,SONDA S.A.,CHILE,NO,,,83.628.100- 4,SONDA,Yes
TREMAC,REPRESENTACIONES INDUSTRIALES S. A,CHILE,NO,,,96.863.260- 4,TREMAC,Yes
TURNER ARG,IMAGEN SATELITAL SA,ARGENTINA,SI,TURNER,WWW.WARNERMEDIALATAM.COM,30-69227372-5,TURNERAR,Yes
TURNER BRA,TOPSPORTS VENTURES LTDA,BRASIL,SI,TURNER,,03.390.444/0002-50,TURNERBR,No
UDEC,UNIVERSIDAD DE CONCEPCION,CHILE,NO,,,81.494.400- K,UDEC,Yes
VITALCAN,VITALCAN S.A.,ARGENTINA,NO,,WWW.VITALCAN.COM,30-71332270-5,VITALCAN,Yes
VITAMINA,VITAMINA HOLDING SPA,CHILE,NO,,,77.032.437- 8,VITAMIN,Yes
YPF ,YPF S.A.,ARGENTINA,SI,YPF,WWW.YPF.COM,30-54668997-9,YPF,Yes
